LocationAreaKey,Zipcode,MailCity,ShapeLength,ShapeArea,CentroidLatitude,CentroidLongitude
7714293738966626,20812,GLEN ECHO,14504.5065128,9810937.0741,38.966626952792325,-77.14293743494022
7711806238956479,20816,BETHESDA,58716.1248449,117565480.431,38.95647982277882,-77.11806249046538
7716110538973139,20818,CABIN JOHN,31103.2351564,35996828.3577,38.973139992753595,-77.1611053215196
7709644338994223,20894,BETHESDA,1298.40152165,25474.5671511,38.994223955611645,-77.09644361757358
7709647338995261,20892,BETHESDA,140.742935677,744.876343028,38.99526140460659,-77.09647308328675
7709635438994319,20892,BETHESDA,1169.21767298,7436.28627353,38.99431913732487,-77.09635400124418
7709652138995416,20814,BETHESDA,502.857722058,2682.7601371,38.99541698695884,-77.09652177721081
7709648138995515,20894,BETHESDA,337.702224598,2114.11495876,38.99551529480282,-77.09648141701335
7709662138996902,20814,BETHESDA,7.16274363744,3.18706222742,38.99690264034869,-77.09662160122812
7710072538987731,20814,BETHESDA,46411.6876883,47837334.4314,38.98773167577017,-77.10072590539887
7700204038982546,20912,TAKOMA PARK,51232.0653417,65209197.2692,38.98254687160147,-77.00204079343348
7710944638998791,20814,BETHESDA,950.506703504,21488.3263074,38.998791259579946,-77.10944677007392
7709682238999502,20814,BETHESDA,94.3937582475,389.845799227,38.999502804508886,-77.09682229780361
7710958938999767,20814,BETHESDA,590.370591987,12022.7650462,38.99976746359365,-77.10958954245127
7711004839000943,20814,BETHESDA,1593.7827866,119165.98739,39.000943545761025,-77.11004820365777
7711035539002752,20814,BETHESDA,1892.05852442,129204.929418,39.00275235022548,-77.11035598371451
7695181739045691,20705,BELTSVILLE,627.776840408,23257.3043788,39.04569112233681,-76.95181758529746
7711079039004036,20814,BETHESDA,1066.93924148,63182.964303,39.004036367291555,-77.11079088502275
7710533439004570,20814,BETHESDA,1585.1205834,154422.232457,39.00457068990137,-77.10533413114192
7710325139005194,20814,BETHESDA,874.003934338,32909.4280551,39.0051948686941,-77.10325147222942
7710269338999892,20892,BETHESDA,18629.8302482,13840739.1197,38.99989292006988,-77.1026933476101
7709047139001824,20889,BETHESDA,13519.8810592,10781552.967,39.00182400847492,-77.09047126593259
7707842038983818,20815,CHEVY CHASE,78258.2702851,151813895.483,38.98381860627773,-77.07842006190148
7705641539013920,20895,KENSINGTON,1766.18048501,20568.4873188,39.013920967015856,-77.05641561664615
7703596439001907,20910,SILVER SPRING,82846.1568889,126320091.137,39.00190768010143,-77.03596497235911
7710519939016894,20814,BETHESDA,58373.8630538,68540697.609,39.016894075883464,-77.10519990449882
7708810839032863,20895,KENSINGTON,536.200243829,17166.2773192,39.03286361238645,-77.0881080901433
7698354239018293,20903,SILVER SPRING,50204.7192451,65972447.4483,39.01829365940637,-76.9835422251861
7715220038996189,20817,BETHESDA,143234.920079,403664948.588,38.996189145680184,-77.15220044157795
7697146539036011,20993,SILVER SPRING,29796.9417713,31161143.5697,39.03601162551873,-76.97146578197675
7707527239025656,20895,KENSINGTON,70838.1492765,106180148.023,39.02565657266069,-77.07527294437958
7690704239117314,20707,LAUREL,35463.305152,21689687.5321,39.11731446551759,-76.90704217075395
7705486039088590,20906,SILVER SPRING,133207.174949,359110751.771,39.08859082555049,-77.05486091907257
7696742239122789,20868,SPENCERVILLE,71900.4862768,47765164.9374,39.12278924400044,-76.96742213297759
7693347839109025,20866,BURTONSVILLE,86124.9897852,201917467.932,39.109025991604476,-76.93347813258762
7721265039140521,20878,GAITHERSBURG,243.544177411,3493.52375547,39.140521027761345,-77.21265030753861
7709347639035987,20896,GARRETT PARK,18896.0629142,7715219.99143,39.03598751114837,-77.09347693432063
7700923739021308,20901,SILVER SPRING,65628.3210741,155364678.639,39.021308415483304,-77.00923776704389
7714766839231538,20882,GAITHERSBURG,223831.799733,1009821989.17,39.23153879824167,-77.14766885908672
7695268539044821,20705,BELTSVILLE,703.62636287,30195.1750313,39.04482116187122,-76.95268572715702
7695315339043846,20705,BELTSVILLE,567.13954364,16616.7350563,39.04384617327098,-76.95315343668054
7695649739034577,20783,ADELPHI,17070.3576309,7965229.39609,39.03457778256485,-76.9564979458047
7710309939038956,20895,KENSINGTON,18281.4085461,14309975.8787,39.03895643351284,-77.10309960441896
7704240439043964,20902,SILVER SPRING,106667.47762,213127715.894,39.043964218321996,-77.04240449690725
7714148039080511,20852,ROCKVILLE,117.451116475,654.703458796,39.08051160294222,-77.1414801751792
7714160039080529,20852,ROCKVILLE,87.5106317487,291.299954396,39.08052908618198,-77.14160027097938
7712482939051552,20852,ROCKVILLE,97850.5275202,228150579.438,39.051552656371115,-77.12482920430824
7722348939035838,20854,POTOMAC,228033.395393,1043434019.25,39.035838792614044,-77.22348935970544
7712156139078053,20851,ROCKVILLE,47677.7042232,68797879.2614,39.07805395789412,-77.12156102131077
7698062539067210,20904,SILVER SPRING,111353.924037,378079609.413,39.067210105337146,-76.9806252802688
7718114539090864,20850,ROCKVILLE,162159.581549,385670140.779,39.09086407980052,-77.1811454594943
7717079439127992,20877,GAITHERSBURG,41.4106643408,106.733948064,39.12799213564644,-77.17079431563006
7717068339128017,20877,GAITHERSBURG,110.843583227,672.184811222,39.12801763036107,-77.17068381734325
7713677738965428,20812,GLEN ECHO,1519.90785276,82.1491079534,38.96542857415459,-77.13677742442806
7695018939039517,20705,BELTSVILLE,3118.96223532,265037.15265,39.039517963437866,-76.95018951175915
7709643238995167,20814,BETHESDA,1.35289181186,0.0184590685326,38.99516794922849,-77.09643227115423
7721718439131415,20899,GAITHERSBURG,22469.8587426,25016992.5795,39.131415883274,-77.21718431805901
7717380739139333,20880,WASHINGTON GROVE,17740.3658179,6316826.94901,39.13933324661401,-77.17380718919775
7717438939144159,20880,WASHINGTON GROVE,1172.86870371,51285.7004841,39.14415949819403,-77.17438935675344
7699078639113935,20905,SILVER SPRING,177248.423989,356085971.377,39.113935979088154,-76.99078608747817
7709494939102237,20853,ROCKVILLE,107159.737926,251565963.373,39.10223780997231,-77.09494972634171
7723218839160699,20878,GAITHERSBURG,234.159541482,2450.93689287,39.160699312745535,-77.23218835481872
7724972439113159,20878,GAITHERSBURG,187104.712096,566694169.79,39.1131591007985,-77.24972483440455
7699742339152403,20861,ASHTON,68929.848578,103600923.231,39.15240375339574,-76.9974236883007
7718751639140820,20877,GAITHERSBURG,106318.60006,168214721.14,39.14082081737279,-77.18751672326212
7699874839161607,20777,HIGHLAND,15733.9122211,5649432.065,39.16160779103803,-76.99874852837566
7740606839111706,20837,POOLESVILLE,179480.321022,1193865423.98,39.111706324756,-77.40606853172383
7724019839165917,20879,GAITHERSBURG,12295.5286541,627841.019602,39.16591792621064,-77.24019885714173
7723984939166089,20874,GERMANTOWN,12013.7156938,206008.794385,39.166089800959654,-77.23984910817074
7703013939150003,20860,SANDY SPRING,63933.6141186,100388052.557,39.15000349117668,-77.03013952657479
7707322739151114,20832,OLNEY,128344.128712,276725061.584,39.15111485432256,-77.07322756333274
7743192339181418,20842,DICKERSON,6866.00800649,2759828.05088,39.18141884578111,-77.43192363890776
7713230839137712,20855,DERWOOD,138686.259699,382152351.631,39.13771230304443,-77.13230808119457
7722140839165105,20879,GAITHERSBURG,50301.4463035,51770472.6185,39.165105759385,-77.22140856808433
7716365739170519,20879,GAITHERSBURG,90576.8742454,166624300.1,39.17051933472943,-77.16365723032537
7702067939181179,20862,BRINKLOW,44132.7861186,31407660.196,39.181179606232604,-77.02067907327181
7716001539191501,20879,GAITHERSBURG,13207.5547696,4042426.18057,39.19150143075014,-77.16001580294929
7719610239179289,20886,MONTGOMERY VILLAGE,106635.963265,110061771.774,39.17928954066387,-77.19610279289306
7741624539178533,20839,BEALLSVILLE,76366.5193198,147536646.505,39.17853384925822,-77.41624509321274
7720634639194169,20879,GAITHERSBURG,19470.3912621,10464439.9612,39.19416939556698,-77.20634670839146
7729807639132189,20874,GERMANTOWN,213170.688025,650470416.446,39.13218979347731,-77.29807649150253
7714325539277621,21797,WOODBINE,19875.8017459,13510501.4518,39.27762171686165,-77.14325554366772
7715753739292640,21771,MT. AIRY,60406.2486984,52686464.2067,39.29264021313709,-77.15753760330297
7728275839257602,20871,CLARKSBURG,195709.493007,579427125.963,39.25760293821972,-77.28275858925295
7721708939331286,21770,MONROVIA,458.325716772,12006.6579819,39.33128668035307,-77.21708999045526
7721721839291851,20872,DAMASCUS,179417.342235,548226849.644,39.29185112010591,-77.21721805979222
7719017539329336,21771,MT. AIRY,60422.747104,62987431.0129,39.32933619533275,-77.19017508640758
7717006839313203,21771,MT. AIRY,149.977242138,1021.66575082,39.31320357549577,-77.17006822341834
7709504138980919,20815,CHEVY CHASE,118.304485356,837.477441786,38.98091903476017,-77.09504123175655
7709320038982236,20815,CHEVY CHASE,18.5756454924,21.5731461353,38.98223634758623,-77.09320095529951
7738430939227538,20838,BARNESVILLE,238.620993248,47.2126662426,39.22753873218591,-77.3843098416996
7737977439225840,20838,BARNESVILLE,65358.2013844,81211083.3161,39.22584038448762,-77.37977406583263
7732651739188276,20841,BOYDS,250533.236842,772351833.344,39.18827696373,-77.32651785714188
7723271939208770,20876,GERMANTOWN,135940.688675,325819647.952,39.20877090545198,-77.23271948535775
7705685339203696,20833,BROOKEVILLE,207931.09233,558534287.761,39.20369643184604,-77.05685388469571
7743621739190007,20842,DICKERSON,357054.654503,1131928762.62,39.190007380164744,-77.43621766575598
7731995139281675,20842,DICKERSON,8182.01622161,3119687.90156,39.28167532455209,-77.31995115686345
0,0,Unknown,0.0,0.0,0.0,0.0
